šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
8585,TOSHIBA RAS B10 UFV-E 2016/2017 UNUTARNJA,KLIMA,1,4040.00,33.33,5050.00,25.00
9318,MITSUBISHI MUZ-EF50VE-E3 VANJSKA,KLIMA,1,8070.00,28.34,9710.00,25.00
9319,MITSUBISHI MSZ-EF50VE3S UNUTARNJA,KLIMA,1,3850.00,33.54,4820.00,25.00
9697,ISKRA G2235-07 KUĆNA ANTENA,AUDIOVIDEO PROGRAM,1,87.90,47.75,125.00,23.00
8039,BEH DJX 750,DJ OPREMA,0,1544.00,40.35,1930.00,28.75
8192,KONEKTOR CINCH POZLAĆENI MUŠKI CRNI/CRVENI,AUDIOVIDEO PROGRAM,20,3.99,135.99,10.00,15.00
8202,KROKODIL 150A PAR CRNO/CRVENE,AUTOPROGRAM,5,14.99,82.10,29.00,15.00
8607,"MREŽNI KABEL 7,5M CAT.6 GREY",PC,3,12.99,182.61,39.00,15.00
8610,MREŽNI KABEL 20M CAT.6 BLACK,PC,2,54.90,87.37,99.00,23.00
8788,ADATA USB STICK 16GB BLACK,PC,5,49.21,157.93,119.00,25.00
8789,ADATA USB STICK 16 GB WHITE,PC,5,48.46,139.96,109.00,25.00
8847,ONYX SAMSUNG J700/E578 BATERIJA,BATERIJA,0,30.00,163.33,79.00,20.00
9029,DAIKIN FTX35J3,KLIMA,1,1410.00,34.68,1762.50,25.75
9030,DAIKIN RX35K,KLIMA,1,2430.00,34.68,3037.50,25.75
9729,PIONEER PRODJ 1000 PLATE2,DJ OPREMA,0,0.00,0.00,449.00,0.00
9739,KABEL PPJ 3x1.5,ALATI,0,0.00,0.00,0.00,0.00
9745,TELEFONSKI KABEL 15 M WHITE,ALATI,10,18.99,93.31,39.00,15.00
10124,"GARMIN NUVI 56LMT+ADRIAROUTE 5,0""",AUDIOVIDEO PROGRAM,1,1192.00,34.14,1599.00,20.00
10199,BOSCH SMV41D00EU UGR.PERILICA POSUĐA,BIJELA TEHNIKA,1,2716.00,39.85,3599.00,24.20
10225,MITSUBISHI MFZ-KJ50VE 2017,KLIMA,1,7040.00,33.33,8800.00,25.00
10351,FUJITSU AOYG-30LAT4,KLIMA,1,12990.00,33.33,16237.50,25.00
10442,TOSHIBA RBC-AMT32E DALJINSKI,KLIMA,1,520.00,33.33,650.00,25.00
10648,DAIKIN FTX25J3 UNUTARNJA,KLIMA,3,1300.00,34.68,1625.00,25.75
10649,DAIKIN RX25K VANJSKA,KLIMA,1,2279.99,34.68,2850.00,25.75
10688,GORENJE DL610SR NAPA UGRADBENA,BIJELA TEHNIKA,2,723.00,34.63,849.00,30.22
10793,DIGIMAX 9040 DVB-S,AUDIOVIDEO PROGRAM,0,0.00,0.00,399.00,0.00
11212,UPS CSB baterija GP 1272 (F2),PC,1,149.00,105.82,299.00,22.00
11457,ADJ FOG JUICE MEDIUM 5 LITER,AUDIOVIDEO PROGRAM,3,104.00,53.85,130.00,35.00
11464,GORENJE BO 637 E30XG - UGR. PEĆNICA,BIJELA TEHNIKA,1,2999.00,37.59,3599.00,30.22
11607,PANASONIC KX-NS500NE,TELEFON,1,4760.00,78.57,5950.00,44.00
11608,PANASONIC KX-NS520NE EXP. CONTROL UNIT,TELEFON,1,5396.00,78.57,6745.00,44.00
11609,PANASONIC KX-NS5130 3 PORT EXP. MASTER,TELEFON,1,380.00,78.57,475.00,44.00
11610,PANASONIC KX-NS5173X,TELEFON,1,912.00,119.14,1399.00,44.00
11649,GREE GEH12AA-K3DNA1C/I,KLIMA,-2,2590.00,33.33,3237.50,25.00
11827,MIELE G 6470 SCVI PERILICA SUĐA,BIJELA TEHNIKA,1,8920.80,40.04,12390.00,20.66
11831,MIELE DA 3466 NAPA,BIJELA TEHNIKA,1,3432.00,20.31,4290.00,16.88
12307,PIONEER PRODJ-RMX-STAND,DJ OPREMA,0,0.00,0.00,969.00,0.00
12569,DAIKIN RX60GV,KLIMA,1,4680.00,31.58,5850.00,24.00
12576,MITSUBISHI MAC-557IF-E WI-FI INTERFACE,KLIMA,1,385.00,33.33,481.25,25.00
13055,MITSUBISHI MSZ-EF25VEW(B) 2016,KLIMA,6,2410.00,33.67,3020.00,25.00
13056,MITSUBISHI MSZ-EF35VE3W-E1,KLIMA,2,2960.00,33.33,3700.00,25.00
13271,FUJITSU AOYG14LVLA,KLIMA,1,4970.00,33.39,6215.00,25.00
13280,YAMAHA RXA 850 BLACK AV POJAČALO,AUDIOVIDEO PROGRAM,1,5832.00,31.58,7290.00,24.00
13288,GREE GWH24QE-K3DNA5GI,KLIMA,1,2560.00,33.33,3200.00,25.00
13289,GREE GWH24QE-K3DNA1GO,KLIMA,1,4730.00,33.33,5912.50,25.00
13315,GREE GWHD(18)NK3KO,KLIMA,1,5860.00,32.88,7300.00,25.00
13417,GORENJE WT62112 PERILICA RUBLJA,BIJELA TEHNIKA,1,2978.00,30.34,3499.00,27.88
13420,GORENJE ECT610X PLOČA ZA KUHANJE,BIJELA TEHNIKA,1,2127.00,62.08,2499.00,42.01
13445,OFFICE HOME&BUSINESS 2016 ENG MEDIALESS,PC,1,1299.00,35.43,2199.00,0.00
13617,GREE GWHD(24)NK3MO,KLIMA,2,8620.00,33.33,10775.00,25.00
13871,MITSUBISHI MXZ-6D122VA,KLIMA,1,20200.00,33.33,25250.00,25.00
13923,BOSCH WOT24254BY PERILICA RUBLJA,BIJELA TEHNIKA,1,3283.00,30.68,4399.00,17.97
13929,MITSUBISHI MSZ-SF42VE2 UNUTARNJA,KLIMA,1,2217.00,39.53,2900.00,25.00
13930,MITSUBISHI MSZ-DM25VA UNUTARNJA,KLIMA,2,1460.00,34.25,1837.50,25.00
13931,GREE GWH12QB-K3DNA6CO ( 2016 ),KLIMA,1,1970.00,33.33,2462.50,25.00
13932,BOSCH SMI43M35EU PERILICA POSUĐA,BIJELA TEHNIKA,1,3407.00,30.21,4599.00,17.06
13933,PANASONIC R6RZ/4BP,AUDIOVIDEO PROGRAM,50,9.59,187.77,20.00,42.00
13934,HP CZ110EA 655 PLAVA,PRINTER,1,69.00,66.29,109.00,24.00
13935,HP CZ111EA 655 CRVENA,PRINTER,1,69.00,66.29,109.00,24.00
13936,HP CZ112EA 655 ŽUTA,PRINTER,1,69.00,66.29,109.00,24.00
13940,GREE GWHD(21)NK3KO,KLIMA,1,6820.00,33.33,8525.00,25.00
13941,DELL INSPIRON 3542 DI3542I3,PC,1,2252.18,31.39,3699.00,0.00
13950,SHARP LC-32CHE4042E LED TV,TELEVIZIJA,13,1080.00,48.07,1999.00,0.00
13951,VIVAX COOL ACP-12CIFM35AERI,KLIMA,1,659.34,66.68,1373.75,0.00
13952,MITSUBISHI MXZ-3D(E)68VA (2016) VANJSKA,KLIMA,2,11770.00,33.40,14720.00,25.00
13953,"WD 10PURX HDD 3.5"" 1TB",PC,1,409.00,42.03,639.00,12.00
13954,ACER ES1-531-C95L NX.M8EX.049,PC,2,1390.00,43.83,2499.00,0.00
13955,ACER ES1-531-C5BU NX.MZ9EX.032,PC,2,1390.00,43.83,2499.00,0.00
13956,MM QUALCOMM ULTRA FAST CRNI PUNJAČ,MOBITELI,2,42.00,100.64,79.00,25.00
13957,SP ELITE/ADAPTER MICROSD 32GB CL10,AUDIOVIDEO PROGRAM,5,50.00,186.40,179.00,0.00
13958,HAVIT HV-KB513CM ŽIČANI MIŠ SET,PC,1,60.00,120.51,129.00,22.00
13959,MM PUNJAČ DUO USB+KABEL 2.1A BIJELO-CRNI,MOBITELI,2,44.00,115.76,89.00,25.00
13960,MM ZAŠTITNO STAKLO SAMSUNG J5 J500F,MOBITELI,3,14.00,654.29,99.00,25.00
13961,MM QUALCOMM ULTRA FAST USB PUNJAČ BIJELI,MOBITELI,2,42.00,100.64,79.00,25.00
13963,SAMSUNG GALAXY TAB E SM-T560 CRNI,MOBITELI,1,1070.00,110.78,2199.00,22.00
13964,SAMSUNG GALAXY GRAND PRIME GOLD,MOBITELI,1,850.00,88.14,1999.00,0.00
13965,SAMSUNG GALAXY J320 J3 GOLD,MOBITELI,5,917.65,105.03,1999.00,15.00
13966,TELE2 PRET SAMSUNG GALAXY A5 2016 GOLD,TELE2,1,2636.00,6.07,3495.00,0.00
13967,TELE2 PRET HUAWEI HONOR 5X DS SILVER,TELE2,1,1959.20,10.21,2699.00,0.00
13968,TELE2 PRET SAMSUNG J3 2016 BLACK,TELE2,1,1279.20,12.51,1799.00,0.00
13969,TELE2 PRET SAMSUNG J3 2016 WHITE,TELE2,1,1279.20,12.51,1799.00,0.00
13970,TELE2 PRET HUAWEI E5251 BLACK WIFI,TELE2,1,476.00,8.40,645.00,0.00
13971,TELE2 HUAWEI HONOR 5X DS GRAY,TELE2,1,1959.20,10.21,2699.00,0.00
13972,PIONEER SE-MJ503-W,DJ OPREMA,25,1.00,12620.00,159.00,0.00
13973,ADATA 128GB SP600 SSD,PC,1,324.89,44.55,499.00,15.00
13974,VIVAX IMAGO LED TV-32LE74SM ANDROID,TELEVIZIJA,1,1170.00,36.68,1999.00,0.00
13975,VIVAX IMAGO LED TV-40LE74SM ANDROID,TELEVIZIJA,1,1730.00,38.68,2999.00,0.00
13976,VOX 55YSD750 LED TV SMART,TELEVIZIJA,4,2550.00,56.83,4999.00,0.00
13978,MITSUBISHI MUZ-SF42VE 2016,KLIMA,1,4620.00,30.16,5637.50,25.00
13979,MITSUBISHI MSZ-SF42VE 2016,KLIMA,1,2290.00,33.68,2870.00,25.00
13982,SAMSUNG GALAXY TAB E SM-T560 WHITE,AUDIOVIDEO PROGRAM,1,1070.00,110.78,2199.00,22.00
13983,LENOVO A1000 DUAL SIM CRNI,MOBITELI,3,385.00,37.61,649.00,2.00
13984,YAMAHA RS 201 BL POJAČALO,AUDIOVIDEO PROGRAM,2,1272.00,66.88,1990.00,25.00
13985,"TOSHIBA Q300 SSD 120GB 2.5""",PC,1,317.68,54.13,499.00,18.47
13986,CANON PG-512+CL-513,PRINTER,1,340.00,56.55,499.00,25.00
13987,HP LASERJET PRO 200 M252dw,PRINTER,2,1260.00,90.41,2999.00,0.00
13989,ORINK HP CF400A CRNI,PRINTER,1,349.00,82.92,399.00,50.00
13990,ORINK HP CF402A ŽUTI,PRINTER,1,210.00,52.00,399.00,0.00
13991,ORINK HP CF403A CRVENI,PRINTER,1,349.00,82.92,399.00,50.00
13996,MIELE TDA 150C SUŠILICA RUBLJA,BIJELA TEHNIKA,1,5112.00,25.00,6390.00,20.00
13997,BOSCH SMI30DO5EU UG. PERILICA POSUĐA,BIJELA TEHNIKA,1,2375.00,30.20,2999.00,22.41
13998,IRRADIO DTR-3331 ZEMALJSKI RECEIVER,AUDIOVIDEO PROGRAM,3,129.90,75.17,219.00,23.00
13999,SYNAPS HTIP-100 ANDROID DVB-T2,AUDIOVIDEO PROGRAM,-1,429.90,68.93,699.00,23.00
14000,MEDIALINK ML 1150S DVB-S/S2+IPTV BOX,AUDIOVIDEO PROGRAM,-1,379.90,50.14,549.00,23.00
14001,NET 500 T2 DVB-T2 RF MODULATOR,AUDIOVIDEO PROGRAM,-1,157.70,96.99,299.00,23.00
14002,"AHD-D1-1080P DOME, 2.8mm, 2,4MPX",AUDIOVIDEO PROGRAM,1,499.22,100.05,749.00,40.00
14003,PIONEER MCS-434 KUĆNO KINO,AUDIOVIDEO PROGRAM,1,1820.00,49.41,3399.00,0.00
14006,DIGIMAX 8010 HD DVB-T2,AUDIOVIDEO PROGRAM,5,139.00,43.31,249.00,0.00
14007,SBOX PB-6000 POWERBANK,MOBITELI,4,119.92,165.51,199.00,50.00
14008,"XILENCE VENTILATOR 6x6x1,2 12V 3-pin",PC,1,19.92,202.70,49.00,35.00
14009,XILENCE VENT. 6x6x1 12V 3-pin,PC,1,15.92,201.45,39.00,35.00
14010,SBOX PB-3000 POWERBANK,MOBITELI,2,55.92,183.26,99.00,50.00
14011,SBOX K-16 TIPKOVNICA,PC,3,55.92,126.04,79.00,50.00
14012,SCORPION K-201 TIPKOVNICA,PC,2,63.92,147.81,99.00,50.00
14013,SBOX K-15 TIPKOVNICA,PC,2,47.92,117.03,65.00,50.00
14014,STRONG UNIV. NOSAČ ZA ANTENU,SATELITSKA,5,12.90,179.07,45.00,0.00
14015,Kaspersky Anti-Virus 2016 3D+1 gratis retail,PC,3,279.00,125.87,449.00,43.00
14016,HP 250 G4 M9S80EA,PC,1,2087.00,26.46,3299.00,0.00
14017,TOSHIBA SATELLITE C55-C-1U2,PC,1,2360.00,35.56,3999.00,0.00
14018,LOGITECH M171 BEŽIČNI MIŠ,PC,3,95.00,42.58,149.00,12.00
14019,LOGITECH M500 LASERSKI MIŠ,PC,1,222.00,42.92,349.00,12.00
14020,LOGITECH M235 CRNO-SIVI,PC,1,158.00,43.27,249.00,12.00
14021,TP-LINK TL-WR843ND,PC,1,196.00,73.72,349.00,18.00
14022,"XILENCE M300 COOLING PAD 15.6""",PC,2,94.00,82.79,189.00,12.00
14023,"ROLINE 3,5 / 2XRCA 0,2M KABEL",AUDIOVIDEO PROGRAM,3,11.00,81.82,20.00,20.00
14024,VALUE USB/SERIAL RS232 CONVERTER,AUDIOVIDEO PROGRAM,1,80.71,85.42,159.00,15.00
14025,MM BOOK SAMSUNG A5 2016 PREMIUM PLAVA,MOBITELI,1,35.00,171.24,89.00,25.00
14026,MM BOOK SAMSUNG J5 (J500) RAZNE,MOBITELI,1,28.00,239.05,89.00,25.00
14027,MM TPU SAMSUNG GRAND PRIME ROZA,MOBITELI,1,16.00,160.00,39.00,25.00
14028,MM TPU SAMSUNG J5 ROZA MAGIC CUBE,MOBITELI,1,16.00,160.00,39.00,25.00
14029,VIVAX COOL ACP-28COFM82AERI,KLIMA,1,3959.34,89.40,9373.75,0.00
14031,HP 302 BLACK,PRINTER,2,108.00,49.15,149.00,26.00
14032,HP 302 TRI COLOR,PRINTER,1,133.00,34.12,165.00,26.00
14033,IPHONE 5 G BATERIJA,MOBITELI,2,75.00,58.93,149.00,0.00
14034,IPHONE 5S BATERIJA,MOBITELI,1,75.00,58.93,149.00,0.00
14035,ORIGINAL BAT. SAMSUNG ALPHA,MOBITELI,1,85.00,40.24,149.00,0.00
14036,ONYX ZAM BATERIJA HTC WILDFIRE,MOBITELI,1,10.00,532.00,79.00,0.00
14037,PS4 FIFA 16 PC,PLAY STATION,1,239.20,108.61,499.00,20.00
14038,PS4 NEED FOR SPEED IGRICA,PLAY STATION,1,319.20,71.99,549.00,20.00
14039,PS4 LEGO AVENGERES IGRICA,PLAY STATION,1,359.20,25.00,449.00,20.00
14040,PS4 PES2016 + EURO 2016 IGRICA,PLAY STATION,1,100.00,139.20,299.00,0.00
14041,MITSUBISHI MXZ-4E72VA,KLIMA,1,13070.00,33.35,16340.00,25.00
14042,EVO ENFINITY X COMBO+ S2/T2,AUDIOVIDEO PROGRAM,1,999.90,66.15,1599.00,23.00
14043,EVO ENFINITY MINI,AUDIOVIDEO PROGRAM,4,639.90,78.44,1099.00,23.00
14044,INVERTO MONOBLOCK SINM22,SATELITSKA,2,99.90,158.97,249.00,23.00
14045,SAL MPA 120 POJAČALO 120W,AUDIOVIDEO PROGRAM,-2,1489.90,74.27,2499.00,23.00
14046,"SAL PAB 20A SET ZVUČNIK,MIKROFON",AUDIOVIDEO PROGRAM,-1,979.90,111.95,1999.00,23.00
14047,EVO LNB TWIN HDTV,SATELITSKA,3,89.90,129.99,199.00,23.00
14048,MIELE G 6660 SCVI INTE. PER. POSUĐA,BIJELA TEHNIKA,1,8312.00,26.04,10390.00,20.66
14049,MIELE KM 6304 INDUKCIJSKA PLOČA,BIJELA TEHNIKA,1,7032.00,25.00,8790.00,20.00
14050,ELICA KUADRA ISLAND IX/A/43 NAPA,BIJELA TEHNIKA,1,5964.00,37.45,7455.00,27.25
14051,HUAWEI P8 LITE WHITE,MOBITELI,1,1230.00,43.02,2199.00,0.00
14052,TOSHIBA RAS 13 BAV-E MIRAI (2017),KLIMA,1,1640.00,43.42,2940.00,0.00
14053,TOSHIBA RAS 13 BKV-E MIRAI (2017),KLIMA,1,824.00,94.18,2000.00,0.00
14054,BEHRINGER SL4230WH,AUDIOVIDEO PROGRAM,8,704.00,45.94,899.00,30.00
14055,AMC LIVE RADIO USB player sa FM i internet radiom,AUDIOVIDEO PROGRAM,1,2784.00,31.47,3660.00,20.00
14056,SAMSUNG GALAXY SM-J320F/DS WHITE,MOBITELI,2,860.00,85.95,1999.00,0.00
14057,SAMSUNG GALAXY SM-J320F/DS BLACK,MOBITELI,-1,840.00,90.38,1999.00,0.00
14058,MITSUBISHI MXZ-2D42VA (2016),KLIMA,1,6960.00,33.33,8700.00,25.00
14059,ALCATEL OT-1035D DARK GREY,KLIMA,4,207.20,58.53,349.00,15.00
14060,MITSUBISHI MSZ-SF25VE2 (2016),KLIMA,1,1820.00,27.18,2170.00,25.00
14061,MITSUBISHI MSZ-GF60VE (2016),KLIMA,1,2730.00,33.33,3412.50,25.00
14062,MITSUBISHI PAR-31MAA ŽIČNI UPRAVLJAČ,KLIMA,1,1000.00,33.33,1250.00,25.00
14063,PIONEER S-11 ZVUČNICI,AUDIOVIDEO PROGRAM,1,399.20,100.12,699.00,30.00
14064,TRM4X4 TRANSMODULATOR QUAD DVBS/S2,SATELITSKA,1,9600.00,42.86,12000.00,30.00
14065,CROWN XLS 1002,AUDIOVIDEO PROGRAM,2,2464.80,64.42,3850.00,24.00
14070,"MM BOOK TORBICA UNI. 5"" BIJELA",MOBITELI,2,35.00,171.24,89.00,25.00
14071,"MM BOOK TORBICA UNI. 5,7"" BIJELA",MOBITELI,1,37.00,156.58,89.00,25.00
14072,MM DRŽAČ SELFIE BLUETOOTH CRNI,MOBITELI,1,45.00,164.89,149.00,0.00
14073,MM DATA KABEL MICRO USB FLAT 2M RAZNI,MOBITELI,5,22.00,186.06,59.00,25.00
14075,MM DRŽAČ SELFIE BLUETOOTH LJUČIČASTI,MOBITELI,1,45.00,164.89,149.00,0.00
14076,"MM DRŽAČ SELFIE MINI ŽIČNI 3,5MM RAZNI",MOBITELI,3,16.00,395.00,99.00,0.00
14077,MM POWER BANK 4000MaH BIJELI,MOBITELI,1,154.00,51.69,219.00,25.00
14078,"MM PUNJAČ DUO USB+MICRO USB 2,1A",MOBITELI,2,44.00,115.76,89.00,25.00
14079,MM PUNJAČ KUĆNI DUO USB+MICRO ZELENI,MOBITELI,1,44.00,115.76,89.00,25.00
14080,"MM PUNJAČ ZA TABLET MICRO USB 2,1A",MOBITELI,3,38.00,65.61,59.00,25.00
14081,GOPRO CHEST HARNESS,AUDIOVIDEO PROGRAM,1,279.20,35.13,349.00,26.00
14082,GOPRO FLOATY HERO4 SESSION,AUDIOVIDEO PROGRAM,1,151.20,35.13,189.00,26.00
14083,GOPRO HAND WRIST BODY MOUNT,AUDIOVIDEO PROGRAM,1,399.20,35.13,499.00,26.00
14084,LG 19M38A-B LED MONITOR,PC,1,629.99,51.02,999.00,16.00
14085,ALCATEL OT-1035D TAMNO SMEĐI,MOBITELI,1,207.20,58.53,349.00,15.00
14088,MM TORBICA SATURN LIGHT XXL,MOBITELI,-2,32.00,96.67,59.00,25.00
14089,MM TORBICA SATURN PINK 3XL,MOBITELI,-2,32.00,96.67,59.00,25.00
14090,MM TORBICA SATURN LIGHT GRAY 3XL,MOBITELI,-2,32.00,96.67,59.00,25.00
14091,MM TORBICA ARMBAND XXL ROZA,MOBITELI,-1,35.00,79.81,59.00,25.00
14092,MM TORBICA ARMBAND XXL CRNA,MOBITELI,1,35.00,79.81,59.00,25.00
14093,"MM TORBICA FLIP ME 9.7""-10.1"" RED",MOBITELI,1,82.00,93.82,149.00,25.00
14094,MM TORBICA URBAN 2XL CRNA,MOBITELI,1,35.00,79.81,59.00,25.00
14095,MM TORBICA URBAN CRNA 3XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14096,MM TORBICA URBAN 2XL SMEĐA,MOBITELI,-2,35.00,79.81,59.00,25.00
14097,MM TORBICA URBAN SMEĐA 3XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14098,MM TORBICA URBAN CRVENA 2XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14099,MM TORBICA URBAN CRVENA 3XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14100,MM TORBICA URBAN SIVA 2XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14101,MM TORBICA URBAN SIVA 3XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14102,MM TORBICA URBAN PLAVA 2XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14103,MM TORBICA URBAN PLAVA 3XL,MOBITELI,-2,35.00,79.81,59.00,25.00
14104,SP USB STICK ULTIMA U03 32GB CRNI,PC,1,59.00,115.59,159.00,0.00
14105,SP USB STICK ULTIMA U03 8GB BIJELI,PC,3,39.00,62.05,79.00,0.00
14106,SP USB STICK ULTIMA U03  32GB BIJELI,PC,1,59.00,115.59,159.00,0.00
14107,SP USB STICK ULTIMA U05 32GB PINK,PC,2,55.00,73.09,119.00,0.00
14108,SP USB STICK ULTIMA U05 16GB PLAVI,MOBITELI,1,32.00,197.50,119.00,0.00
14109,SP USB STICK ULTIMA U05 32GB PLAVI,MOBITELI,2,55.00,73.09,119.00,0.00
14110,MS CANON C-EXV18 TONER,PRINTER,1,129.00,89.86,199.00,35.00
14112,DOOGEE F5 FUTROLA,MOBITELI,-2,20.00,296.00,99.00,0.00
14113,DOOGEE X5 FUTROLA CRNA,MOBITELI,-4,20.00,296.00,99.00,0.00
14114,DOOGEE X6 FUTROLA BIJELA,MOBITELI,-2,20.00,296.00,99.00,0.00
14115,DOOGEE X6 FUTROLA CRNA,MOBITELI,2,20.00,296.00,99.00,0.00
14116,DOOGEE F5 SIVI,MOBITELI,-1,1119.20,86.79,2199.00,15.85
14117,MINIX NEO X8-H PLUS ANDROID,MOBITELI,1,839.20,17.65,1049.00,15.00
14118,LENCO PA-85 PRIJENOSNI AUDIO SUSTAV,AUDIOVIDEO PROGRAM,-1,1039.99,113.57,1999.00,28.00
14119,LENCO PA-95 PRIJENOSNI AUDIO SUSTAV,AUDIOVIDEO PROGRAM,1,1359.99,79.66,2199.00,28.00
14120,SVP562-GY-WP,AUDIOVIDEO PROGRAM,8,35.00,42.86,43.75,30.00
14121,NEUTRIK 3FCD-LX,AUDIOVIDEO PROGRAM,8,40.00,33.33,50.00,25.00
14122,SHARP LC-40CFE4042E LCD TV,TELEVIZIJA,2,1950.00,14.83,2799.00,0.00
14124,VIVAX COOL ACP-27COFM79AERI,KLIMA,1,5999.00,51.52,7498.75,34.00
14125,VIVAX COOL ACP-09CTIFM25AERI,KLIMA,2,1055.34,51.52,1998.75,0.00
14126,VIVAX COOL ACP-12CTIFM35AERI,KLIMA,1,1599.00,51.52,1998.75,34.00
14127,LG 24M47VQ LED MONITOR,PC,1,1199.12,41.69,1699.00,20.00
14128,FUJITSU AOYG09LLCC 2016,KLIMA,1,1950.00,33.74,2445.00,25.00
14129,FUJITSU ASYG09LLCC 2016,KLIMA,1,1340.00,33.33,1675.00,25.00
14130,FUJITSU AOYG12LLCC 2016/2017,KLIMA,2,2020.00,33.47,2527.50,25.00
14131,FUJITSU ASYG12LLCC 2016/2017,KLIMA,2,1600.00,33.50,2002.50,25.00
14132,MITSUBISHI MUZ-HJ35VA 2016,KLIMA,3,2130.00,33.33,2662.50,25.00
14133,MITSUBISHI MSZ-HJ35VA 2016,KLIMA,3,1550.00,33.33,1937.50,25.00
14134,BLANCO ANDANO 340/180-IF/A,BIJELA TEHNIKA,1,4563.00,38.18,5703.75,27.63
14135,DIO ZA CIJEĐENJE 513485,BIJELA TEHNIKA,1,611.00,33.33,763.75,25.00
14136,BLANCO CAPFLOW POKLOPAC,BIJELA TEHNIKA,2,88.00,48.15,110.00,32.50
14137,SAMSUNG GALAXY SM-J320F/DS GOLD,MOBITELI,5,860.00,85.95,1999.00,0.00
14138,WINNER UNIVER. ADAPTER 1000mA,AUDIOVIDEO PROGRAM,2,54.90,87.37,99.00,23.00
14139,MELCHIONI FLAT B VAGA,OSNOVNO SREDSTVO,1,79.90,145.77,189.00,23.00
14140,LG 55LF652V LED TV,TELEVIZIJA,1,4750.00,24.62,7399.00,0.00
14143,MITSUBISHI MUZ-HJ25VA (2016),KLIMA,1,1980.00,33.74,2482.50,25.00
14144,MITSUBISHI MSZ-HJ25VA (2016),KLIMA,1,1350.00,33.33,1687.50,25.00
14145,WHIRLPOOL WHE3933 ZAMRZIVAČ,BIJELA TEHNIKA,1,1929.00,32.67,3199.00,0.00
14146,GORENJE GI60110X UGRADBENA PERILICA,BIJELA TEHNIKA,1,2723.00,41.03,3199.00,33.36
14147,LD SYSTEMS STINGER SUB 15AG2 AKT. PA SUBWOOFER,AUDIOVIDEO PROGRAM,1,7517.81,53.87,15379.00,35.00
14148,LPV-20-24 LED ADAPTER,AUDIOVIDEO PROGRAM,5,69.14,361.33,299.00,25.00
14149,LPV-35-24 LED STRUJNI ADAPTER,AUDIOVIDEO PROGRAM,3,97.67,226.55,299.00,25.00
14150,REFLEKTOR ZA FON. I BAZENE 12W/IP68/316,SVJETILJKA,3,1444.00,121.53,2999.00,25.00
14151,"VANJSKA UGR. LED SVIJETILJKA 1,5W/230V/IP20/3000K",SVJETILJKA,25,132.80,33.94,199.00,10.50
14152,WHIRLPOOL WTLS 65912 PERILICA RUBLJA,BIJELA TEHNIKA,1,3119.00,36.76,3999.00,25.00
14153,HAVIT HV-SK495 ZVUČNICI ZA PC,PC,1,38.00,167.21,99.00,22.00
14154,MAXLINE ML-F930 COOLING PAD,PC,1,69.00,91.75,129.00,22.00
14155,MM BOOK HUAWEI HONOR 5X MAGNET CRNA,MOBITELI,2,26.00,265.13,89.00,25.00
14156,MM BOOK IPHONE 5,MOBITELI,1,10.00,612.00,89.00,0.00
14157,MM BOOK IPHONE 6 CRNA,MOBITELI,3,28.00,239.05,89.00,25.00
14158,HAVIT HV-SK473 SRVENI PC ZVUČNIK,PC,1,38.00,140.22,89.00,22.00
14159,VOX 32YD700 LED TV,TELEVIZIJA,2,900.00,68.80,1899.00,0.00
14160,TOSHIBA SATELLITE C55-C-1KR,PC,1,2200.00,45.42,3999.00,0.00
14161,HP 250 G4 M9S62EA LAPTOP,PC,1,2060.00,47.53,3799.00,0.00
14162,HP 250 G3 J4R70EA LAPTOP,PC,1,2200.00,45.42,3999.00,0.00
14163,SBOX NCS-017 ROME BLACK TORBA ZA LAPTOP,PC,10,25.00,536.80,199.00,0.00
14164,CROWN XLS 1502,AUDIOVIDEO PROGRAM,1,2987.40,40.91,3999.00,24.00
14165,MITSUBISHI MFZ-KJ35VE(2) 2016,KLIMA,1,4810.00,33.50,6020.00,25.00
14166,NOSAČI ZA KLIMU SREDNJI 520x450mm PLASTIČNI,KLIMA,3,127.00,62.30,219.00,15.00
14167,MONTAŽA STALKA + PROGRAMIRANJE,USLUGE,0,0.00,0.00,0.00,0.00
14169,TELE2 PRET SAMSUNG GALAXY G920F S6 GOLD,MOBITELI,1,4876.00,3.28,6295.00,0.00
14170,TELE2 PRET SAMSUNG GALAXY A3 2016 BLACK,TELE2,1,2156.00,11.13,2995.00,0.00
14171,QUADRO R-420A+,BIJELA TEHNIKA,20,490.00,32.65,812.50,0.00
14172,VIVAX SMART POINT X450 ROSE,MOBITELI,1,380.00,68.21,799.00,0.00
14173,PANASONIC AAA/LR03 4+4 ANGRY BIRDS,AUDIOVIDEO PROGRAM,5,19.19,81.99,24.00,45.00
14174,PANASONIC AA/LR06 4+4 GRATIS,AUDIOVIDEO PROGRAM,5,19.19,81.99,24.00,45.00
14175,TOSHIBA RAS 16 BAV-E MIRAI (2017) - VANJSKA,KLIMA,1,3270.00,17.43,3600.00,25.00
