šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5802,PIONEER BDP-150-K,AUDIOVIDEO PROGRAM,1,600.00,99.87,1499.00,0.00
5803,KINGMAX PD-71 8GB USB,PC,2,43.62,51.17,89.00,9.00
5804,AKAI AKFL2671H,TELEVIZIJA,0,0.00,0.00,1999.00,0.00
5805,SWEEX SP022 ZVUČNICI,PC,1,63.89,31.10,89.00,15.00
5806,SWEEX SP027 ZVUČNICI,PC,2,30.70,142.24,79.00,15.00
5807,SWEEX MI406 WIRELLES MIŠ,PC,5,56.50,81.59,109.00,15.00
5808,FUNAI 29FL553,TELEVIZIJA,10,1250.00,27.94,1999.00,0.00
5809,FUNAI 39FL753P,TELEVIZIJA,1,2050.00,24.84,3199.00,0.00
5812,MELICONI SPACE SYSTEM HI-FI 40 STALAK,AUDIOVIDEO PROGRAM,0,0.00,0.00,449.00,0.00
5813,CANYON CNR-FMSO01 MOUSE,PC,3,19.99,80.09,45.00,0.00
5814,CANYON CNR-FMSOWO1 WIRELESS,PC,10,38.94,103.39,99.00,0.00
5815,MICROSOFT OPTICAL MOUSE 35H-0004,PC,0,0.00,0.00,75.00,0.00
5816,HITACHI HDD 500GB SATA 5400rpm,PC,1,299.00,33.51,499.00,0.00
5818,ZED DIPLEXER-COMBINER PLUSFB1,SATELITSKA,10,30.00,151.08,29.00,30.00
5821,VIPME NOKIA 113,VIP,1,169.20,41.37,299.00,0.00
5822,NOKIA 112 BIJELA,MOBITELI,1,271.20,81.73,499.00,19.00
5823,LOGITECH K230 WIRELLES KEYBOARD,PC,1,183.99,71.07,299.00,24.00
5824,PLANET SWITCH 16-PORT 10/100Mbps,PC,1,183.26,51.78,299.00,14.00
5825,VIVAX COOL ACP-09CH25AELI UNUT.,KLIMA,1,530.00,31.89,873.75,0.00
5826,VIVAC COOL ACP-09CH25AELI VANJSKA,KLIMA,1,1270.00,88.98,3000.00,0.00
5827,X-MINI ZVUČNIK II PLAVI,AUDIOVIDEO PROGRAM,1,149.00,42.46,199.00,25.00
5828,ŽARULJA B35 25W 230V E14 MAT SVIJEĆA,AUDIOVIDEO PROGRAM,300,1.60,12.50,0.00,0.00
5829,ŽARULJA ŠTEDNA MASTER PL-C 18W/830/2P,AUDIOVIDEO PROGRAM,30,29.50,6.54,27.50,30.00
5830,TELE2 PRET SAM. GALAXY TREND WHITE,AUDIOVIDEO PROGRAM,5,956.00,25.11,1495.00,0.00
5831,HTC ONE X BROWN GRAY,MOBITELI,-1,3399.00,17.66,4999.00,0.00
5832,HTC ONE V BLACK,MOBITELI,-1,1769.00,35.63,2999.00,0.00
5833,HTC DESIRE C BLACK,MOBITELI,1,199.00,181.01,699.00,0.00
5834,LG OPTIMUS L5 BLACK,MOBITELI,1,999.00,28.05,1599.00,0.00
5835,LG P880 OPTIMUS 4X HD BLACK,MOBITELI,-1,2999.00,25.35,4699.00,0.00
